origin_airport;destination_airport_icao;destination_airport_iata;destination_airport_name;destination_airport_shortName;destination_airport_municipalityName;destination_airport_location;destination_airport_countryCode;daily_flights;0;1;2;3;4;5;6;7;8;9
EGAA;LSGG;GVA;Geneva Cointrin, Geneva;Cointrin;Geneva;{'lat': 46.2381, 'lon': 6.10895};CH;0.86;EGAA;BFS;Belfast International Airport;Belfast;Northern Ireland;GB;54.6575012207;-6.2158298492;Europe/London;
EGAA;LFPG;CDG;Charles de Gaulle, Paris;Charles de Gaulle;Paris;{'lat': 49.0128, 'lon': 2.549999};FR;0.86;EGAA;BFS;Belfast International Airport;Belfast;Northern Ireland;GB;54.6575012207;-6.2158298492;Europe/London;
EGAA;GCRR;ACE;Lanzarote, Lanzarote Island;Lanzarote;Lanzarote Island;{'lat': 28.9455, 'lon': -13.605199};ES;0.71;EGAA;BFS;Belfast International Airport;Belfast;Northern Ireland;GB;54.6575012207;-6.2158298492;Europe/London;
EGAA;LEMG;AGP;Mï¿½laga, Mï¿½laga;Mï¿½laga;LEMG;{'lat': 36.6749, 'lon': -4.49911};ES;0.71;EGAA;BFS;Belfast International Airport;Belfast;Northern Ireland;GB;54.6575012207;-6.2158298492;Europe/London;
EGAA;EHAM;AMS;Amsterdam Schiphol, Amsterdam;Schiphol;Amsterdam;{'lat': 52.3086, 'lon': 4.763889};NL;0.57;EGAA;BFS;Belfast International Airport;Belfast;Northern Ireland;GB;54.6575012207;-6.2158298492;Europe/London;
EGAA;GCLP;LPA;Gran Canaria, Gran Canaria Island;Gran Canaria;Gran Canaria Island;{'lat': 27.9319, 'lon': -15.386599};ES;0.57;EGAA;BFS;Belfast International Airport;Belfast;Northern Ireland;GB;54.6575012207;-6.2158298492;Europe/London;
EGAA;EGNM;LBA;Leeds Bradford, Leeds;Bradford;Leeds;{'lat': 53.8659, 'lon': -1.66057};GB;0.57;EGAA;BFS;Belfast International Airport;Belfast;Northern Ireland;GB;54.6575012207;-6.2158298492;Europe/London;
EGAA;LPFR;FAO;Faro, Faro;Faro;LPFR;{'lat': 37.0144, 'lon': -7.965909};PT;0.43;EGAA;BFS;Belfast International Airport;Belfast;Northern Ireland;GB;54.6575012207;-6.2158298492;Europe/London;
EGAA;EGNS;IOM;Isle of Man, Castletown;Isle of Man;Castletown;{'lat': 54.0833, 'lon': -4.623889};IM;0.43;EGAA;BFS;Belfast International Airport;Belfast;Northern Ireland;GB;54.6575012207;-6.2158298492;Europe/London;
EGAA;LFLL;LYS;Lyon Saint-Exupï¿½ry, Lyon;Saint-Exupï¿½ry;Lyon;{'lat': 45.7264, 'lon': 5.090829};FR;0.43;EGAA;BFS;Belfast International Airport;Belfast;Northern Ireland;GB;54.6575012207;-6.2158298492;Europe/London;
EGAC;EGPF;GLA;Glasgow, Glasgow;Glasgow;EGPF;{'lat': 55.8719, 'lon': -4.43306};GB;2.71;EGAC;BHD;George Best Belfast City Airport;Belfast;Northern Ireland;GB;54.6180992126;-5.8724999428;Europe/London;
EGAC;EGKK;LGW;London Gatwick, London;Gatwick;London;{'lat': 51.1481, 'lon': -0.190277};GB;2.0;EGAC;BHD;George Best Belfast City Airport;Belfast;Northern Ireland;GB;54.6180992126;-5.8724999428;Europe/London;
EGAC;EGGP;LPL;Liverpool John Lennon, Liverpool;John Lennon;Liverpool;{'lat': 53.3336, 'lon': -2.84972};GB;0.88;EGAC;BHD;George Best Belfast City Airport;Belfast;Northern Ireland;GB;54.6180992126;-5.8724999428;Europe/London;
EGAC;EGGD;BRS;Bristol, Bristol;Bristol;EGGD;{'lat': 51.3827, 'lon': -2.719089};GB;0.29;EGAC;BHD;George Best Belfast City Airport;Belfast;Northern Ireland;GB;54.6180992126;-5.8724999428;Europe/London;
EGCC;EHAM;AMS;Amsterdam Schiphol, Amsterdam;Schiphol;Amsterdam;{'lat': 52.3086, 'lon': 4.763889};NL;7.86;EGCC;MAN;Manchester Airport;Manchester;England;GB;53.3536987305;-2.2749500275;Europe/London;
EGCC;GCTS;TFS;Tenerife South, Tenerife Island;Tenerife South;Tenerife Island;{'lat': 28.0445, 'lon': -16.5725};ES;7.0;EGCC;MAN;Manchester Airport;Manchester;England;GB;53.3536987305;-2.2749500275;Europe/London;
EGCC;LFPG;CDG;Charles de Gaulle, Paris;Charles de Gaulle;Paris;{'lat': 49.0128, 'lon': 2.549999};FR;6.43;EGCC;MAN;Manchester Airport;Manchester;England;GB;53.3536987305;-2.2749500275;Europe/London;
EGCC;LEAL;ALC;Alicante, Alicante;Alicante;LEAL;{'lat': 38.2822, 'lon': -0.558156};ES;5.0;EGCC;MAN;Manchester Airport;Manchester;England;GB;53.3536987305;-2.2749500275;Europe/London;
EGCC;LSGG;GVA;Geneva Cointrin, Geneva;Cointrin;Geneva;{'lat': 46.2381, 'lon': 6.10895};CH;4.7;EGCC;MAN;Manchester Airport;Manchester;England;GB;53.3536987305;-2.2749500275;Europe/London;
EGCC;GCRR;ACE;Lanzarote, Lanzarote Island;Lanzarote;Lanzarote Island;{'lat': 28.9455, 'lon': -13.605199};ES;4.14;EGCC;MAN;Manchester Airport;Manchester;England;GB;53.3536987305;-2.2749500275;Europe/London;
EGCC;LEBL;BCN;Barcelona, Barcelona;Barcelona;LEBL;{'lat': 41.2971, 'lon': 2.078459};ES;3.71;EGCC;MAN;Manchester Airport;Manchester;England;GB;53.3536987305;-2.2749500275;Europe/London;
EGCC;EGAA;BFS;Belfast, Belfast;Belfast;EGAA;{'lat': 54.6575, 'lon': -6.215829};GB;3.57;EGCC;MAN;Manchester Airport;Manchester;England;GB;53.3536987305;-2.2749500275;Europe/London;
EGCC;EKCH;CPH;Copenhagen Kastrup, Copenhagen;Kastrup;Copenhagen;{'lat': 55.6179, 'lon': 12.656};DK;3.43;EGCC;MAN;Manchester Airport;Manchester;England;GB;53.3536987305;-2.2749500275;Europe/London;
EGCC;BIKF;KEF;Keflavik, Reykjavik;Keflavik;Reykjavik;{'lat': 63.985, 'lon': -22.6056};IS;3.14;EGCC;MAN;Manchester Airport;Manchester;England;GB;53.3536987305;-2.2749500275;Europe/London;
EGCC;LEMG;AGP;Mï¿½laga, Mï¿½laga;Mï¿½laga;LEMG;{'lat': 36.6749, 'lon': -4.49911};ES;3.0;EGCC;MAN;Manchester Airport;Manchester;England;GB;53.3536987305;-2.2749500275;Europe/London;
EGCC;EDDM;MUC;Munich, Munich;Munich;EDDM;{'lat': 48.3538, 'lon': 11.7861};DE;3.0;EGCC;MAN;Manchester Airport;Manchester;England;GB;53.3536987305;-2.2749500275;Europe/London;
EGCC;EGNS;IOM;Isle of Man, Castletown;Isle of Man;Castletown;{'lat': 54.0833, 'lon': -4.623889};IM;2.86;EGCC;MAN;Manchester Airport;Manchester;England;GB;53.3536987305;-2.2749500275;Europe/London;
EGCC;LPPT;LIS;Lisbon Portela, Lisbon;Portela;Lisbon;{'lat': 38.7813, 'lon': -9.135919};PT;2.86;EGCC;MAN;Manchester Airport;Manchester;England;GB;53.3536987305;-2.2749500275;Europe/London;
EGCC;LIMC;MXP;Malpensa, Milan;Malpensa;Milan;{'lat': 45.6306, 'lon': 8.72811};IT;2.57;EGCC;MAN;Manchester Airport;Manchester;England;GB;53.3536987305;-2.2749500275;Europe/London;
EGCC;GCFV;FUE;Fuerteventura, Fuerteventura Island;Fuerteventura;Fuerteventura Island;{'lat': 28.4527, 'lon': -13.8638};ES;2.14;EGCC;MAN;Manchester Airport;Manchester;England;GB;53.3536987305;-2.2749500275;Europe/London;
EGCC;LKPR;PRG;Ruzyn, Prague;Ruzyn;Prague;{'lat': 50.1008, 'lon': 14.26};CZ;2.14;EGCC;MAN;Manchester Airport;Manchester;England;GB;53.3536987305;-2.2749500275;Europe/London;
EGCC;GCLP;LPA;Gran Canaria, Gran Canaria Island;Gran Canaria;Gran Canaria Island;{'lat': 27.9319, 'lon': -15.386599};ES;2.0;EGCC;MAN;Manchester Airport;Manchester;England;GB;53.3536987305;-2.2749500275;Europe/London;
EGCC;LPFR;FAO;Faro, Faro;Faro;LPFR;{'lat': 37.0144, 'lon': -7.965909};PT;1.86;EGCC;MAN;Manchester Airport;Manchester;England;GB;53.3536987305;-2.2749500275;Europe/London;
EGCC;LTAI;AYT;Antalya, Antalya;Antalya;LTAI;{'lat': 36.8987, 'lon': 30.8005};TR;1.71;EGCC;MAN;Manchester Airport;Manchester;England;GB;53.3536987305;-2.2749500275;Europe/London;
EGCC;EDDB;BER;Berlin Brandenburg, Berlin;Brandenburg;Berlin;{'lat': 52.35139, 'lon': 13.493889};DE;1.71;EGCC;MAN;Manchester Airport;Manchester;England;GB;53.3536987305;-2.2749500275;Europe/London;
