origin_airport;destination_airport_icao;destination_airport_iata;destination_airport_name;destination_airport_shortName;destination_airport_municipalityName;destination_airport_location;destination_airport_countryCode;daily_flights
EGGP;LEAL;ALC;Alicante, Alicante;;Alicante;{'lat': 38.2822, 'lon': -0.558156};ES;1.71
EGGP;LEMG;AGP;Málaga, Málaga;;Málaga;{'lat': 36.6749, 'lon': -4.49911};ES;1.0
EGGP;LPFR;FAO;Faro, Faro;;Faro;{'lat': 37.0144, 'lon': -7.965909};PT;0.57
EGGP;LEPA;PMI;Palma De Mallorca, Palma De Mallorca;;Palma De Mallorca;{'lat': 39.5517, 'lon': 2.73881};ES;0.43
EGGP;LTAI;AYT;Antalya, Antalya;;Antalya;{'lat': 36.8987, 'lon': 30.8005};TR;0.14
EGGP;LOWS;SZG;Salzburg, Salzburg;;Salzburg;{'lat': 47.7933, 'lon': 13.0043};AT;0.14
EGGW;LSGG;GVA;Geneva Cointrin, Geneva;Cointrin;Geneva;{'lat': 46.2381, 'lon': 6.10895};CH;7.86
EGGW;EHAM;AMS;Amsterdam Schiphol, Amsterdam;Schiphol;Amsterdam;{'lat': 52.3086, 'lon': 4.763889};NL;5.57
EGGW;EGAA;BFS;Belfast, Belfast;Belfast;;{'lat': 54.6575, 'lon': -6.215829};GB;3.43
EGGW;LLBG;TLV;Ben Gurion, Tel Aviv Yafo;Ben Gurion;Tel Aviv Yafo;{'lat': 32.0114, 'lon': 34.8867};IL;3.29
EGGW;EGPH;EDI;Edinburgh, Edinburgh;Edinburgh;;{'lat': 55.95, 'lon': -3.372499};GB;3.0
EGGW;LEMG;AGP;Málaga, Málaga;Málaga;;{'lat': 36.6749, 'lon': -4.49911};ES;3.0
EGGW;LFPG;CDG;Charles de Gaulle, Paris;Charles de Gaulle;Paris;{'lat': 49.0128, 'lon': 2.549999};FR;2.96
EGGW;EPKK;KRK;John Paul II   Kraków-Balice, Kraków;John Paul II   -Balice;Kraków;{'lat': 50.0777, 'lon': 19.7848};PL;2.86
EGGW;LPPT;LIS;Lisbon Portela, Lisbon;Portela;Lisbon;{'lat': 38.7813, 'lon': -9.135919};PT;2.86
EGGW;EGPF;GLA;Glasgow, Glasgow;Glasgow;;{'lat': 55.8719, 'lon': -4.43306};GB;2.14
EGGW;BIKF;KEF;Keflavik, Reykjavik;Keflavik;Reykjavik;{'lat': 63.985, 'lon': -22.6056};IS;2.14
EGGW;LIMC;MXP;Malpensa, Milan;Malpensa;Milan;{'lat': 45.6306, 'lon': 8.72811};IT;2.0
EGGW;GCTS;TFS;Tenerife South, Tenerife Island;Tenerife South;Tenerife Island;{'lat': 28.0445, 'lon': -16.5725};ES;2.0
EGGW;LEBL;BCN;Barcelona, Barcelona;Barcelona;;{'lat': 41.2971, 'lon': 2.078459};ES;1.86
EGGW;GCRR;ACE;Lanzarote, Lanzarote Island;Lanzarote;Lanzarote Island;{'lat': 28.9455, 'lon': -13.605199};ES;1.86
EGGW;LEAL;ALC;Alicante, Alicante;Alicante;;{'lat': 38.2822, 'lon': -0.558156};ES;1.71
EGGW;LPFR;FAO;Faro, Faro;Faro;;{'lat': 37.0144, 'lon': -7.965909};PT;1.71
EGGW;LCLK;LCA;Larnaca, Larnarca;Larnaca;Larnarca;{'lat': 34.8751, 'lon': 33.6249};CY;1.57
EGGW;EGJJ;JER;Jersey, St Helier;Jersey;St Helier;{'lat': 49.2079, 'lon': -2.195509};JE;1.43
EGGW;LFLL;LYS;Lyon Saint-Exupéry, Lyon;Saint-Exupéry;Lyon;{'lat': 45.7264, 'lon': 5.090829};FR;1.29
EGGW;EGPD;ABZ;Aberdeen Dyce, Aberdeen;Dyce;Aberdeen;{'lat': 57.2019, 'lon': -2.197779};GB;1.14
EGGW;EDDB;BER;Berlin Brandenburg, Berlin;Brandenburg;Berlin;{'lat': 52.35139, 'lon': 13.493889};DE;1.14
EGGW;EGPE;INV;Inverness, Inverness;Inverness;;{'lat': 57.5425, 'lon': -4.0475};GB;1.14
EGGW;LPPR;OPO;Francisco de Sá Carneiro, Porto;Francisco de Sá Carneiro;Porto;{'lat': 41.2481, 'lon': -8.681389};PT;1.14
EGGW;LTAI;AYT;Antalya, Antalya;Antalya;;{'lat': 36.8987, 'lon': 30.8005};TR;1.0
EGGW;LIRN;NAP;Naples, Nápoli;Naples;Nápoli;{'lat': 40.886, 'lon': 14.2908};IT;1.0
EGGW;LFLS;GNB;Grenoble-Isère, Grenoble/Saint-Geoirs;Grenoble-Isère;Grenoble/Saint-Geoirs;{'lat': 45.3629, 'lon': 5.32937};FR;0.86
EGGW;GCFV;FUE;Fuerteventura, Fuerteventura Island;Fuerteventura;Fuerteventura Island;{'lat': 28.4527, 'lon': -13.8638};ES;0.71
EGGW;HEGN;HRG;Hurghada, Hurghada;Hurghada;;{'lat': 27.1783, 'lon': 33.7994};EG;0.71
EGGW;LEMD;MAD;Adolfo Suárez Madrid–Barajas, Madrid;Adolfo Suárez –Barajas;Madrid;{'lat': 40.4936, 'lon': -3.56676};ES;0.71
EGGW;HESH;SSH;Sharm el Sheikh, Sharm el Sheikh;Sharm el Sheikh;;{'lat': 27.9773, 'lon': 34.395};EG;0.71
